Akkermansia,Alistipes,Bacteroides,Blautia,Clostridium,Collinsella,Coprococcus,Dialister,Dorea,Eubacterium,Faecalibacterium,Lachnobacterium,Lachnospira,Odoribacter,Oscillospira,Parabacteroides,Phascolarctobacterium,Prevotella,Roseburia,Ruminococcus,Subdoligranulum,Sutterella
0,0,4717,26,29,0,27,4,0,2,103,0,80,0,3,11,0,0,74,37,12,0
0,0,1324,23,23,0,0,1,0,1,720,0,2,0,2,0,0,0,4,13,3,0
0,153,3200,96,51,0,48,55,0,7,219,0,11,0,6,482,0,1,38,19,3,0
0,395,3170,0,7,0,1,92,0,0,26,0,1,0,4,234,0,0,0,7,14,0
0,133,1279,33,23,0,9,0,10,1,74,0,131,24,80,28,0,0,48,22,21,0
0,73,514,11,10,0,11,20,0,49,78,26,2,17,50,199,52,161,18,183,23,0
0,387,2572,35,17,1,19,9,22,5,29,6,37,18,231,740,21,309,11,6,13,40
0,33,277,9,7,0,26,0,1,3,166,1,90,2,34,13,80,1590,8,6,3,109
0,163,2275,2,2,0,3,0,0,1,441,0,8,11,75,49,35,0,3,21,22,0
0,194,2173,18,13,0,11,3,0,5,485,5,15,19,48,78,10,0,147,107,67,0
6,45,1394,17,133,0,3,60,0,0,7,0,4,1,8,0,0,0,40,9,0,328
0,520,887,8,26,0,15,0,1,26,106,1,4,26,200,157,78,476,35,31,41,73
6,166,2400,16,28,2,106,0,9,34,88,2,58,11,65,78,0,0,51,106,52,324
6,186,1843,47,35,0,53,0,2,26,128,0,41,20,75,152,0,0,38,44,52,291
14,189,3866,38,35,0,39,39,5,93,214,1,10,122,107,95,0,2,129,90,15,34
0,166,3504,5,18,2,2,25,1,1,88,0,26,60,66,196,0,0,25,2,11,19
0,28,2849,33,75,0,2,38,2,1,118,1,264,0,11,185,0,0,215,17,26,283
0,43,2608,18,25,0,14,0,1,1,55,2,16,0,21,29,0,0,57,214,11,140
0,201,1508,10,22,0,9,2,2,1,36,0,12,2,26,21,21,0,12,15,7,1
0,186,1491,11,19,0,13,0,1,19,87,0,58,5,9,16,1,1,53,7,5,2
1,165,3527,20,98,0,9,2,1,7,399,2,33,29,37,151,77,0,71,35,24,0
0,70,1510,7,26,0,1,0,1,3,11,0,6,0,10,122,12,0,3,40,23,16
6,463,5398,4,29,0,6,0,0,4,151,0,11,134,70,317,10,0,32,39,14,0
7,767,4603,20,179,0,17,0,0,14,447,3,25,200,216,390,56,0,25,37,388,0
0,336,1006,123,137,2,92,398,33,98,531,22,11,82,201,2263,334,690,158,110,284,0
4,0,296,62,36,2,77,175,2,7,126,128,37,0,124,239,0,666,6,42,4,0
2,119,556,27,50,3,63,34,3,34,253,5,25,55,91,101,40,90,41,63,127,0
0,8,710,25,6,0,8,315,2,0,25,3,115,2,51,115,0,1468,14,3,3,18
0,0,2366,8,30,0,0,29,0,1,80,0,2,0,71,590,0,0,179,10,5,120
0,29,5832,21,26,0,0,0,0,0,1,0,0,3,9,27,46,0,0,54,1,0
0,153,841,61,89,2,50,0,9,3,171,25,9,48,38,259,565,1893,110,51,11,0
10,107,881,125,126,0,27,14,14,13,64,15,35,16,39,247,0,20,350,10,68,0
0,328,2250,41,45,0,86,42,7,120,465,6,97,170,224,145,0,2569,63,150,12,210
0,291,1822,7,21,0,1,0,0,1,156,0,21,64,203,64,126,0,28,98,40,0
0,0,5085,36,52,0,9,404,1,9,117,2,15,0,52,0,0,0,84,21,2,0
25,114,3942,116,39,1,11,0,6,4,90,0,13,13,40,417,844,30,47,17,15,107
1,520,2220,9,7,0,47,185,7,0,38,3,8,35,170,599,128,98,14,74,14,2
0,1651,596,778,121,0,7,0,1,40,35,0,14,19,319,86,921,41,12,1168,244,0
22,861,1772,34,52,0,20,0,3,28,174,14,11,33,223,272,103,0,60,34,17,54
1,2,3022,6,2,0,0,0,0,1,11,0,14,8,13,157,0,0,73,111,7,0
45,137,741,12,14,0,48,85,4,6,61,1,22,14,361,334,104,142,63,58,81,0
4,0,4022,32,64,0,13,24,6,16,98,6,95,0,13,53,0,0,356,23,18,0
7,370,2347,25,56,0,3,34,5,3,81,0,18,28,60,71,0,0,55,136,23,0
43,931,4264,43,159,43,185,250,11,4,338,27,33,78,678,701,210,40,17,205,153,78
66,0,8958,426,249,0,136,263,10,16,1398,1,253,0,130,623,0,2,703,406,10,0
20,174,6214,1104,682,42,1195,13,40,137,917,0,53,13,137,611,842,318,444,889,348,6
3,414,3609,3,41,0,32,4,2,87,299,0,109,17,346,2157,0,1,72,1453,32,0
0,657,2327,110,43,0,24,0,0,2,636,0,23,66,401,247,151,0,110,126,483,0
0,1,3848,17,381,1,3,566,0,0,2753,0,7,0,0,213,0,3,0,21,19,0
3,509,2071,41,36,0,56,266,94,43,926,2,30,129,349,402,2,522,17,203,41,51
